ESPÉCIE,AUTOR,NOME_VULGAR,LINK,SINONIMIA_BOTANICA,FAMILIA,FORMA_BIOLOGICA,FLORESTA_OMBROFILA_DENSA,FLORESTA_OMBROFILA_ABERTA,FLORESTA_OMBROFILA_MISTA,FLORESTA_ESTACIONAL_SEMIDECIDUAL,FLORESTA_ESTACIONAL_DECIDUAL,SISTEMA_EDAFICO_PRIMEIRA_OCUPACAO,VEGETACAO_INFLUENCIA_MARINHA,VEGETACAO_INFLUENCIA_FLUVIOMARINHA,VEGETACAO_INFLUENCIA_FLUVIAL,CAMPOS_RUPESTRES,SASV,AREAS_ANTROPIZADAS,OBSERVACAO_SOLO,TEXTURA_CASCALHO,TEXTURA_ARENOSO,TEXTURA_MEDIO,TEXTURA_ARGILOSO,FERTILIDADE_ALTA,FERTILIDADE_BAIXA,BEM_DRENADO,MAL_DRENADO,MODERADAMENTE_DRENADO,SUJEITO_ALAGAMENTO,RASO_CASCALHO,RASO_ROCHA,PROFUNDO,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PE,PI,PB,PR,RJ,RN,RO,RR,RS,SE,SC,SP,TO,TOL_SOMBRA,ESTRATEGIA_OCUPACAO,PERSISTENCIA_FOLHAGEM,PERIODO_FLORACAO,PERIODO_FRUTIFICACAO,PERIODO_COLETA_SEMENTE,ANIMAL_ATRAIDO,ATRATIVO,TIPO_INTERACAO,ESTRATEGIA_DISPERSAO,COLETA_PROCESSAMENTO,SEMENTE_P_KG,PESO_FRESCO,CONDICOES_ARMAZENAMENTO,PRAZO_ARMAZENAMENTO,TOL_DESSECACAO,TOL_FRIO,TIPO_DORMENCIA,TRAT_GERMINACAO,PADRONIZACAO,LENTO,RAPIDO,MUITO_RAPIDO,ALTURA_MEDIA,TEMPO_MEDIO_PLANTIO,DESENVOL_MUDA_CAMPO,FBN,USO_ALIMENTACAO,USO_ARTESANATO,USO_AROMATICO,USO_CORT,USO_COND,USO_COSMETICO,USO_FORRAGEM,USO_FIBRAS,USO_LATEX,USO_MADEIRA,USO_MEDICINAL,USO_MELIFERA,USO_OLEO,USO_ORNAMENTAL,USO_RESINA,USO_RAD,USO_TANINO,USO_TINTURA,USO_TOXICO,REFERENCIA,REFERENCIA1,REFERENCIA2,REFERENCIA3,REFERENCIA4,AMEACADO
Abarema brachystachya,(DC.) Barneby & J.W.Grimes,Timbuva; Olho-cabra-azul,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231791/1/Especies-Arboreas-Brasileiras-vol-4-Timbuva.pdf,Pithecellobium lusorium (Vell.) Benth.; Inga brachystachya DC.; Abarema obovata (Benth.) Barneby & J.W.Grimes,Fabaceae,Árvore,1,0,0,0,0,0,1,0,0,0,0,0,"Prefere terrenos baixos, moderadamente drenados e de textura arenosa. Geralmente, esses solos são de fertilidade média.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,não,diversidade,Perenifólia,Set - Junho(PR); Mar - Junho (SP),Jun - Out (SP); Jul -Dez (PR),Jun - Out (SP); Jul -Dez (PR),-,-,-,autocórica,Os frutos devem ser colhidos diretamente da árvore quando iniciarem abertura espontânea .,"1,3","769,23",-,12 meses,Sim,Sim,Tegumentar,Imersão em ácido sulfúrico por 1 minuto ou escarificação mecânica.,boa,0,1,1,30-40,6,Lento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,DD
Abarema langsdorffii,(Benth.) Barneby & J.W.Grimes,"Pau-gambá, gabazeiro, árvore-de-tento",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232170/1/Especies-Arboreas-Brasileiras-vol-5-Pau-Gamba.pdf,Pithecellobium langsdorffii Benth.,Fabaceae,"Árvore, arbusto",1,0,0,0,0,0,0,0,0,1,0,0,Ocorre preferencialmente em solos de fertilidade média,0,1,0,0,0,0,0,0,1,0,-,-,-,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-,-,perenifólia,"out-mar (RS), out-abr (RJ)","out (SP), jan. (RS)",-,-,-,dispersão,autocórica,"Os frutos podem ser coletados diretamente da árvore, quando iniciarem a deiscência.",1300,-,ortodoxo,> 1 ano,1,,dormência tegumentar,Imersão em ácido sulfúrico por 1 minuto ou escarificação mecânica,ótimo,1,0,0,30 m,6 meses,-,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 5. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014, 453p.","Morim, M.P.; Iganci, J.R.V.; Guerra, E. Abarema in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB17978>. Acesso em: 19 jun. 2022",,,,NE
Acrocomia aculeata,(Jacq.) Lodd. ex Mart.,Macaubeira; bocaiúva; coco-babão; macaúba; bocaiuveira,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231961/1/Especies-Arboreas-Brasileiras-vol-3-Macaubeira.pdf,Acrocomia sclerocarpa var. wallaceana Drude; Acrocomia antiguana L.H.Bailey; Acrocomia belizensis L.H.Bailey; Acrocomia chunta Covas & Ragonese; Acrocomia antioquiensis Posada-Ar.; Acrocomia guianensis Lodd. ex G.Don; Acrocomia pilosa León; Acrocomia cubensis Lodd. ex H.Wendl.; Acrocomia erioacantha Barb.Rodr.; Acrocomia fusiformis (Sw.) Sweet; Acrocomia glaucophylla Drude; Acrocomia globosa (Gaertn.) Lodd. ex Mart.; Acrocomia grenadana L.H.Bailey; Acrocomia zapotecis Karw. ex H.Wendl.; Acrocomia wallaceana (Drude) Becc.; Acrocomia horrida Lodd. ex Mart.; Acrocomia hospes L.H.Bailey; Acrocomia ierensis L.H.Bailey; Acrocomia vinifera Oerst.; Acrocomia viegasii L.H.Bailey; Acrocomia lasiospatha Mart.; Acrocomia mexicana Karw. ex Mart.; Acrocomia microcarpa Barb.Rodr.; Acrocomia tenuifrons Lodd. ex Mart.; Acrocomia minor Lodd. ex G.Don; Acrocomia mokayayba Barb.Rodr.; Acrocomia odorata Barb.Rodr.; Acrocomia subinermis León ex L.H.Bailey; Acrocomia spinosa (Mill.) H.E.Moore; Acrocomia quisqueyana L.H.Bailey; Acrocomia sclerocarpa Mart.; Acrocomia sphaerocarpa Desf.; Astrocaryum sclerocarpum H.Wendl.; Bactris minor Gaertn.; Bactris pavoniana Mart.; Cocos aculeata Jacq.; Cocos fusiformis Sw.; Palma spinosa Mill.; Palma mocaia Aubl.; Acrocomia panamensis L.H.Bailey; Acrocomia christopherensis L.H.Bailey; Acrocomia karukerana L.H.Bailey; Acrocomia ulei Dammer; Bactris globosa Gaertn.; Acrocomia mexicana var. vinifera Oerst. ex Ant. Molina,Arecaceae,Palmeira,0,0,0,1,1,1,0,0,1,0,0,1,"É uma espécie calcífila, considerada uma planta indicadora de melhores condições químicas do solo. Prefere os solos bem drenados, roxos e arenosos.",0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,não,diversidade,Perenifólia,Jul-Dez(MG); Set-Jan(MS); Nov-Dez(SP),Out-Dez(MS); Out-Jan(SP);,-,Mamíferos: Anta,Frutos,Dispersão,Barocórica; Zoocórica,Os frutos devem ser colhidos do chão.,30,"33333,33",perde rapidamente a viabilidade,-,-,-,-,-,regular,1,0,0,-,12,moderado,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,"(CARVALHO, 2008)",http://reflora.jbrj.gov.br/,,,,DD
Aegiphila integrifolia,(Jacq.) Moldenke,Tamanqueiro,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Aegiphila integrifolia var. guianensis (Moldenke) López-Pal.; Aegiphila integrifolia var. lopez-palacii Moldenke; Aegiphila minasensis Moldenke; Aegiphila conturbata Moldenke; Aegiphila dentata Moldenke; Aegiphila intermedia Moldenke; Aegiphila parviflora Moldenke; Aegiphila salticola Moldenke; Aegiphila sellowiana Cham.; Aegiphila villosa (Aubl.) J.F.Gmel.; Aegiphila medullosa Moldenke; Aegiphila amazonica Moldenke; Aegiphila arborea Spruce ex Moldenke; Aegiphila orbignyana Mart. ex Moldenke; Aegiphila arborescens (Aubl.) J.F.Gmel.; Aegiphila guianensis Moldenke; Callicarpa globiflora Ruiz & Pav.; Callicarpa integrifolia Jacq.; Manabea arborescens Aubl.; Aegiphila arborescens var. breviflora Schauer; Callicarpa discolor Willd. ex Steud.; Manabea villosa Aubl.,Lamiaceae,Arbusto/Árvore,1,0,1,1,0,1,1,0,1,1,0,1,"Indiferente as condições físicas do solo. Pode ser encontrado em solos arenosos, pedregosos, rasos e mal drenados.",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,não,recobrimento,Caducifólia,,,Fevereiro-Abril,"Aves: Turdus rufiventris, Hylophilus amaurocephalus, Megarhynchus pitangua, Cyanocorax chrysops",Frutos,Dispersão,zoocórica,Colher os frutos diretamente da árvore quando maduros (alaranjados). Esfregar os frutos em peneira sob água corrente para a remoção da polpa e separação das sementes,29180,"34,27",Apresentam comportamento ortodoxo ao armazenamento,> 1 ano,sim,sim,sem dormência,não é necessário,baixa,0,1,0,25,4,rápido,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"(NOGUEIRA;BRANCALION,2016)",http://reflora.jbrj.gov.br/,,,,DD
Agonandra brasiliensis,Miers ex Benth. & Hook.f.,"Marfim, pau-marfim, quina-da-mata",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231849/1/Especies-Arboreas-Brasileiras-vol-4-Marfim.pdf,Agonandra lacera Toledo; Agonandra macedoi Toledo; Agonandra duckei Huber ex Ducke; Agonandra granatensis Rusby,Opiliaceae,Árvore,0,0,0,1,1,0,0,0,0,0,0,0,Indiferente a tipo de solos,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,-,-,decídua,"jun-set (PI), jun-out (DF)","jul-ago (PI), out-nov (DF)",-,"animais silvestres, principalmente veados, morcegos, macacos e outros animais terrestres",frutos,dispersão,endozoocórica,"Os frutos podem ser coletados diretamente da árvore ou do chão logo após a queda. Após, é necessário colocá-los amontoados em saco plástico para decomposição da polpa, assim facilitando a remoção das sementes.",415,-,recalcitrante,6 meses,-,0,-,não é necessário,regular,1,0,0,15-30 m,6 meses,-,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 4. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2010, 373p.","Silva, D.N. Opiliaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro.Disponível em: <https://floradobrasil.jbrj.gov.br/FB19967>. Acesso em: 21 jun. 2022",,,,NE
Aiouea sellowiana,(Nees & Mart.) R.Rohde,"Canela-raposa, pau-de-raposa, vassourão-preto",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232056/1/Especies-Arboreas-Brasileiras-vol-5-Canela-Raposa.pdf,Phoebe sellowii var. glabrata Meisn.; Phoebe sellowii var. lanata Meisn.; Cinnamomum sellowianum (Nees & Mart.) Kosterm.; Phoebe sellowii Meisn.,Lauraceae,"Árvore, arbusto",1,0,1,0,0,0,0,0,0,0,0,0,"Ocorre em terrenos rasos a profundos e aceita variação da fertilidade. Prefere solos pobres e ácidos, onde o pH pode variar entre 3,5 a 5,5. Tolera solos mal drenados.",0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-,-,perenifólia,set-jan.,nov-mai,-,-,-,dispersão,zoocórica,"Os frutos devem ser colhidos quando apresentarem coloração preto-azulado. Após, lavar o fruto e marela-lo até a semente ficar sem polpa. As sementes podem ser deixadas na peneira, em ambiente ventilado para secarem",8000,-,recalcitrante,curto período,0,1,não apresenta dormência,não é necessário,regular,0,0,1,15 m,6 meses,-,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,"CARVALHO, P.E.R. Espécies Arbóreas Brasileiras. Coleção Espécies Arbóreas Brasileiras, vol. 5.  Brasília: Embrapa Informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014. 185p.",,,,,NE
Albizia edwallii,(Hoehne) Barneby & J.W.Grimes,"Farinha-seca, angico-branco, canela-de-corvo",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231873/1/Especies-Arboreas-Brasileiras-vol-4-Farinha-Seca.pdf,Albizia austrobasilica Burkart; Pithecolobium edwallii Hoehne; Albizia austrobrasilica Burkart,Fabaceae,Árvore,1,0,1,0,1,0,0,0,0,0,0,0,"Ocorre em terrenos rasos e de fertilidade variável, melhor em solos pobres e ácidos.",-,-,-,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,-,-,semidecídua,"out-dez (PR), nov. (RS)","jan.-mar (SC), mar (SP)",-,-,-,dispersão,autocórica,"As vagens podem ser colhidas diretamente da árvore, antes de completarem a deiscência. Após, devem ser colocadas para secar ao sol para liberação das sementes.",15000- 25786,-,ortodoxo,-,1,0,dormência tegumentar,Imersão em água quente a 80°C por 3 minutos,ruim,0,1,0,25 m,-,-,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 4. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2010, 221p.","Chagas, A.P.; Dutra, V.F. Albizia in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB100919>. Acesso em: 16 jun. 2022",,,,LC
Albizia inundata,(Mart.) Barneby & J.W.Grimes,"Muquém, biguazeiro, timbó-branco",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232158/1/Especies-Arboreas-Brasileiras-vol-5-Muquem.pdf,Albizia polyantha (Spreng.) G.P.Lewis,Fabaceae,Árvore,0,0,0,1,0,0,0,0,0,0,0,0,Ocorre em solos de beira de rio e várzeas que se inundam com frequência ou chapadões de barro vermelho,0,0,0,1,-,-,0,1,0,1,-,-,-,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-,-,decídua,ago.-out,nov-jan,-,,,dispersão,autocórica,"Os frutos podem ser coletados diretamente da árvore, quando iniciarem a deiscência. Após, os frutos devem ser expostos ao sol para completar a abertura e liberar as sementes. As sementes podem ser usadas diretamente na semeadura, pois a retirada das sementes é complicada",890,-,ortodoxo,-,-,0,-,não é necessário,ótimo,0,1,0,5-8 m,-,-,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 5. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014, 393p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol 2 – 3. ed. Nova Odessa, SP. 159p.","Chagas, A.P.; Dutra, V.F. Albizia in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB82614>. Acesso em: 19 jun. 2022",,,NE
Albizia niopoides,(Spruce ex Benth.) Burkart,"Farinha-seca, angico-branco,mulateira,frango-assado",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231979/1/Especies-Arboreas-Brasileiras-vol-3-Farinheira-seca.pdf,Pithecellobium niopoides Spruce ex Benth.; Albizia hassleri (Chodat) Burkart,Fabaceae,Árvore,0,1,0,1,1,1,0,0,1,0,0,1,"Ocorre naturalmente em solos de fertilidade química média a alta, profundos e bem drenados.",0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,não,diversidade,Caducifólia,Jun-Nov (MS); Out-Jan (SP),Jul- Out (PR); Ago-Dez (MS); Set-Out (SP),Setembro a Novembro,-,-,-,Autocórica (barocórica),"As vagens maduras (pardacentas) devem ser colhidas diretamente da árvore, antes da abertura natural. Em seguida, devem ser expostas ao sol para secar.",36300,"27,55",O armazenamento deve ser feito em condições controladas de clima. As sementes são ortodoxas ao armazenamento.,1 ano,sim,sim,Tegumentar,Imersão em ácido sulfúrico por 1 minuto para superar a dormência.,boa,0,1,0,-,4,lento,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,"CARVALHO,2008v3",,,,,DD
Albizia pedicellaris,(DC.) L.Rico,Juerana-branca; balizia,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Balizia pedicellaris (DC.) Barneby & J.W.Grimes; Inga pedicellaris DC.; Pithecellobium pedicellare (DC.) Benth.,Fabaceae,Árvore,1,0,0,0,0,1,0,0,0,0,0,0,"Prefere terrenos úmidos, moderadamente drenados e de textura arenosa a argilosa. Tolera inundação temporária.",0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,não,recobrimento,semicaducifólia,-,maio,Maio,-,-,-,anemocórica,Colher os frutos diretamente da árvore e deixá-los sexar ao sol para a liberação das sementes. Semear imediatamente após a colheita.,25600,"39,06",não armazenar,-,-,-,Tegumentar,"Os maiores percentuais germinativos foram encontrados nos tratamentos de escarificação mecânica seguida ou não da embebição em água por 6 e 12 horas, e imersão em ácido sulfúrico por 30 minutos  (Müller et al., 2015)",boa,0,1,0,-,< 6,rápido,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,"BARROS & VERISSIMO, 2002",,,DD
